root_id,product_id,date,product_name,description,brand_name,subj_name,subj_root_name,sizes_table,min_size,max_size,color,made_in,compositions
267321561,213566096,2024-11-26,Чистящая паста розовая средство Pinky Clean для уборки 1кг,"Чистящее средство розовое Пинки Клин от Макси дез для уборки дома, мытья посуды, кухни и мытья ванной комнаты. Розовая паста для уборки и чистки дома, дачи и гаража. Многофункциональное моющее средство бытовой химии для чистки и мытья на основе природного абразива. Для ежедневного мытья кухни, ванны и дома с заботой о руках. 

Первая чистящая паста для просто блеска дома с уникальным увлажняющим комплексом ГЛИЦЕРИН + ПАНТЕНОЛ. Экологичная химия для дома. Моющее и чистящее средство для уборки подходит для дома, ванны и ванной комнаты, сантехники, для пластика, а также для пластиковых контейнеров, от известкового налета, жира, пригоревшей пищи, для очистки рук от загрязнений. Великолепно очищает ржавчину с пластика и налет в душевых кабинах и на кранах. Концентрат чистящего средства для ванны подойдет для удаления известкового налета со стекол. 

Средство идеально для мытья посуды: 1кг пасты заменяет до 15 бутылок популярного средства для посуды Фэри. PINKY CLEAN — чудо-паста 50в1 для уборки дома. Подходит как чистящее средство для кухни: посуды, плиты, микроволновки, вытяжки, духовки, гриля, холодильника, противня, казана и других поверхностей. Особой популярностью эта паста пользуется для очистки белой подошвы обуви для удаления грязи и обновления деталей обуви (кроме кожи). Яркая розовая паста - поднимет настроение, а уборка дома станет удовольствием. Для важен ""просто блеск"" дома? - чистящая паста PINKY CLEAN 50в1- то что нужно!  

Чистящее средство для пластиковых подоконников и рам, мытья пластиковых окон, а также для легкой очистки хромированных кранов от известкового налета (от известковой сеточки) в ванной, очистит межплиточные швы на кафеле, поможет очистить ванну из эмали и акрила. Подходит для акриловых ванн. Выручает паста PINKY CLEAN каждую хозяйку. 

Можно использовать закрытых помещениях в присутствии животных и детей, она безопасна при вдыхании. Чистящая паста пинк pink (розовая).

Банка наполняется наполовину объема! На вес 1кг это не влияет.",Maxidez,Кремы для уборки,Бытовая химия,,,,,Россия,
173260626,146160800,2024-11-26,Шампунь для волос профессиональный,"Профессиональный шампунь с кератином для глубокой очистки волос борется с ломкостью и придает объем у корней. Увлажняющая формула идеально подходит для чувствительной и сухой кожи головы. Благодаря отсутствию SLS очищает так же деликатно, как бессульфатные аналоги. В отличие от средств без сульфатов, хорошо пенится за счёт мягких ПАВ. Универсален для мужских, женских, окрашенных, кудрявых и жирных волос. Не вымывает пигмент и препятствует желтизне блонда — лучший выбор для блондинок с осветленными и мелированными прядями. Себорегулирующая функция нормализует жирность, предотвращает появление себореи и действует против перхоти. 
Натуральный кератиновый состав с популярными корейскими компонентами и пантенолом укрепляет тонкие волосы, реанимирует поврежденные и секущиеся кончики. Стимулирует быстрый рост, улучшает кровообращение и помогает от выпадения. Структурирует вьющиеся, пористые, ломкие и пушистые локоны, обеспечивает интенсивное питание с ламинирующим эффектом. Разработан по стандартам Кореи. Парфюмированная отдушка с ароматом дорогого парфюма оставляет длинный шлейф до 12 часов. Очищающий шампунь для ежедневного применения подходит подросткам, женщинам и девочкам. Не предназначен доя детского использования (маленьким детям рекомендуется шампунь без слез). Балансирующий безсульфатный shampoo без SLS и парабенов проводит бережное очищение кожи, может применяться после скраба, пилинга и мицеллярных детокс средств. Содержит силиконы и SLES — мягкий сульфатный ПАВ. Деликатно промывает седые и обесцвеченные волосы после краски и других тонирующих и оттеночных средств, обладает антижелтым эффектом (нейтрализатор желтизны). Дорожный формат флакона (бутылка 400 мл) с твердым надёжным дозатором не протекает во время поездки. Выбирайте набор с бальзамом (кондиционером) для комплексного проф ухода.
",Semily,Шампуни,Красота,,,,,Россия,Cocamide DEA; Polyquaternium-7; PEG-4 Rapeseedamide; PEG-7 Glyсeryl Cocoate; Polyquaternium-10; HYDROLYZED KERATIN; Allantoin; Laminaria Digitata (Horsetail Kelp) Extract; Styrene/Acrylates Copolymer; Citric Aсid; aqua; Sodium coceth sulfate; Cocamidopropyl Betain; Lauryl Glucoside; Glycol Distearate; sodium laureth sulfate; сорбитол; Coco-Glucoside; Sodium Сhloride; Tetrasodium Glutamate Diacetate
195396419,216561655,2024-11-26,Пила аккумуляторная цепная мини сучкорез,"Цепная аккумуляторная пила - идеальный выбор для вашего сада, дачи и огорода. Она прекрасно справляется с подрезкой кустарников и спилом деревьев. Электропилу используют для распила бревна, деревянных конструкций и древесины, обрезки маленьких и крупных веток дерева. С ней легко ухаживать за кустами растений на домашней территории. Диаметр резки составляет 15 см без окалин под углом 30 градусов. Изделие оснащено мощным продольным двигателем мини техники для дачного участка с напряжением 21v и емкостью аккумулятора в 2000 мА*ч. Мощность мотора достигает 1000 Вт, что обеспечивает превосходную производительность. В комплекте: отвертка, инструкция и две сменных батареи, которые избавят от необходимости подключаться к сети питания или искать розетку для зарядки. Универсальная техника упакована в прочный пластиковый кейс, который подойдет для хранения ручной пилы в загородном доме или перевозки в машине. Безопасность работы обеспечивается портативным беспроводным веткорезом с инвентарем: очки, перчатки и электрический тормоз помогут избежать неприятных инцидентов. Замена и регулировка цепи происходят быстро без инструмента разборки благодаря современным технологиям. Управлять электроцепным аппаратом комфортно благодаря удобной кнопке-блокиратору пускового курка и ударопрочному корпусу. Компактная электро минипила заменит тяжелые бензопилы, ножовки, электроножовки, электросучкореза и кустореза и другие устаревшие электроинструменты благодаря своей многофункциональности. Противоскользящая ручка минипилы позволяет использовать устройство взрослой рукой: мужской и женской. Небольшой сучкорез с электромотором и зарядником отличный подарок на праздник, новый год или день рождения учителю, коллеге, папе, дедушке, брату, сыну, мужчине и женщине. Запасной АКБ делает её надежным товаром для строительных, ремонтных, садовых, огородных задач, а также пригодится при ремонте на рыбалке, в лесу или в туристическом путешествии. Не пропустите акции и скидки от нашего бренда!
",WoodSaw,Электропилы цепные,Садовая техника,,,,зеленый; черный,Китай,
164498388,180430489,2024-11-26,"Зарядное устройство для телефона, быстрый блок 20W","
Hoco - всемирно известная компания по производству аксессуаров для планшетов и телефонов. Славятся уникальным дизайном и высоким качеством. Универсальный блок с быстрой зарядкой Hoco  c двумя выходами Type-C (таепси) и USB-A мощностью 20W. Поддержка PD3.0, QC3.0/QC2.0, эта технологии позволяют зарядить смартфон до 80% за 40-45 минут. Интеллектуальная функция smart id сама определит какие напряжения и сила тока нужны для того или иного устройства. Зарядник оснащен портами usb и type -с, и поддерживает одновременную зарядку двух устройств. Универсальный адаптер имеет несколько встроенных систем безопасности от короткого замыкания, перегрузки и перегрева. Сетевое зарядный адаптер с быстрой зарядкой подходит для для Samsung , Honor , Huawei , Xiaomi, Redmi, Apple watch, айфон, iphone 11, 12, 13, 14 и 15 в том числе Pro и ProMax, ipad, airpods, ксиоми, портативным колонкам, к смарт часам и другими смартфонами на андроиде и эпл. Компактная конструкция, позволяющая активно использовать адаптер хоко  во время поездок. Это отличный и быстрый способ зарядить свой телефон. Адаптер Hoco в народе называется - вилка !!! зарядка
 Выход: USB: DC 5V= 3A,9V= 2A, 12V =1.5A 18W. Type-C: 5V= 3A 9V= 2.22A, 12V= 1.67A (PD20W) Общий выход: 20W MAX, Type-C+USB-A: DC5V=3A",Hoco,Зарядные устройства,Смартфоны и аксессуары,,,,белый,Китай,
189468055,14079450,2024-11-26,"Удлинитель сетевой 3 розетки с заземлением, 3 метра , черный","Удлинитель электрический на 3 розетки с заземлением. Простой и надежный бытовой удлинитель, который предназначен для электроприборов и использования внутри помещений. Тройник подходит для дома, офиса, коммерческих помещений, дачи и сада. Предусмотрена возможность крепления на стену. Длина провода 3 метра. Мощность 2200 Вт. Максимальный допустимый ток 10 А. Корпус из негорючего пластика. Индикатор сети. Выключатель питания.",Defender,Сетевые фильтры,Периферия и аксессуары,,,,черный,Китай,
208885772,145700662,2024-11-26,Гель для стирки 5 литров для белого и цветного белья,"Концентрированный гель Aric Perfect Clear предназначен для стирки белого, и цветного белья. Канистра 5 литров. Аромат Морозная свежесть. Уникальная эко формула проникает глубоко в волокна ткани, эффективно избавляет от пятен и загрязнений. Жидкий стиральный порошок не вымывает краситель из материала, поддерживает насыщенность цвета темных черных и цветных вещей. Сохраняет яркость белого и цветного белья. Может применяться для стирки верхней и спортивной обуви и одежды. Он полностью выполаскивается из вещей, не оставляет следов и разводов. Универсальный экогель 5л подходит для всех типов натуральных и синтетических тканей, кроме шерсти и шелка. Эффективно работает в воде любой жесткости и температуры. Не повреждает волокна ткани. Подойдет для ручной стирки и для стиральных машинок автомат всех типов. Парфюмированная стиральная жидкость с приятным запахом оставляет на ткани легкий приятный аромат. Моющее эко средство производится в России, в соответствии с немецкими стандартами качества, разработанными в Германии. Благодаря этому, мы рады предложить Вам высокое качество по доступной цене. Гипоаллергенный экологичный гель предназначен для стирки взрослого и детского белья для детей начиная с 6 лет. Концентрат расходуется очень экономично, одной канистры 5000 мл хватает до 200 стирок. Бытовая химия от Aric подходит как для дома, так и для профессионального применения. Ароматизированный стиральный порошок может использоваться для предварительного замачивания. ",ARIC,Гели для стирки,Бытовая химия,,,,,Россия,
5884235,43563455,2024-11-26,Кондиционер ополаскиватель для белья 5 литров Eva Lavander,"Гипоаллергенный кондиционер для стирки белья Eva Lavander 5 литров от Grass на 167 стирок - представляет собой универсальный концентрированный высокоэффективный ополаскиватель с нежным ароматом лаванды. Подходит для всех типов стиральных машин, применим как для автоматической - автомат, так и для ручной стирки. Идеально подходит для замачивания нижнего белья, детской одежды, вещей новорожденных (0+), черного, темного, белого и цветного белья, применим для всех типов ткани. Жидкое средство для стирки парфюм Ева — полностью вымывается во время стирки, не оставляя разводов и следов на одежде или белье и сохраняя её структуру и цвет, обладает антистатическим эффектом, облегчая глажку одежды после стирки, а также безопасен для септических установок. Гранулы и концентрированный жидкий порошок работают вместе, удаляя стойкие пятна, оставляя вашу одежду свежей и яркой. Не вызывает аллергию! Выгодный объем 5 л - поможет вам и вашей семье сэкономить на покупке новых флаконов и использовать наше средство в течение долгогого срока. 

Способ применения: 
1) Для машинной стирки: налейте 45 мл концентрата на 4-5 кг белья.
2) Для ручной стирки: разведите в пропорции 5 мл на литр воды. 

Бытовая химия от Официального магазина Grass - это незаменимый помощник в деле любой уборки. С нашими средствами из линейки грасс - ваша стирка белья преобразится в многоплановый, интересный процесс, подарив комплексный уход и приятный аромат всем вашим вещам!",GRASS,Кондиционеры для белья,Бытовая химия,,,,,Россия,"≥30% очищенная вода; ≥5%, но <15% катионные ПАВ; <5%: неионогенные ПАВ; глицерин; ароматизирующая добавка; метилхлороизотиазолинон; метилизотиазолинон"
18076805,25534940,2024-11-26,"Наматрасник 160х200 см на резинке, толстый","Пришло время защитить свой матрас! Стеганый чехол для матраса 160 на 200 защитит матрас от изнашивания и загрязнений. Плотность изделия составляет 200 гр./кв.м., что позволяет наматраснику давать дополнительную мягкость и комфорт спальному месту. Чехол наматрасника выполнен из мягкой микрофибры белого цвета, которая обладает высокой стойкостью к износу и по свойствам похожа на хлопок. Благодаря плетению микрофибры, простыня не будет скользить. Топпер 160х200 выполнен с бортом и резинкой по кругу. Фиксация резинкой по кругу способствует плотному прилеганию изделия к матрасу, и не дает ему съезжать во время сна. Наш защитный наматрасник 160 на 200 бамбук подходит для матрасов высотой до 30 см, включительно. Если Ваш матрас меньшей толщины, то всегда можно спрятать излишки под матрас. Так же подходит на диван. Мягкий чехол обеспечит комфорт спальному месту и не даст простыне скользить. Наматрасник стеганый 160 200 выдерживает большое количество стирок, прост в уходе и имеет длительный срок эксплуатации. Может использоваться, как защита мебели от кошек и собак, как защита на диван. Упакован в пвх пакет зип-лок для удобного хранения и транспортировки. Упаковка выглядит красиво и стильно, подойдет для подарка. В каталоге доступны различные размеры. Так же среди нашего ассортимента вы сможете найти: непромокаемые наматрасники, постельное белье 2 спальное, постельное белье евро, классическое и на резинке. Наши товары идеально подходят для любой детской и взрослой мягкой мебели и текстиля.",VarFabric,Наматрасники,Текстиль для дома,,,,белый,Россия,
106265489,172075284,2024-11-26,Влажные салфетки для новорожденных без запаха PURE 6упх120шт,"Гипоаллергенные влажные салфетки для новорожденных и всей семьи - незаменимый помощник для мамы и малыша! Этот набор косметики для новорожденных содержит 6 упаковки салфеток по 120 штук. Влажные салфетки без запаха Pure 99% воды Свежая нота не содержат спирт, парабены и красители, обладают гипоаллергенным составом и бережно очищают и увлажняют нежную кожу, подходят для использования с первых дней жизни малыша. Салфетки Свежая Нота PURE состоит на 99% из чистой воды и на 1% из ухаживающих компонентов. Большая салфетка с гладкой текстурой не оставляет ворсинок и ощущения липкости. Наши влажные салфетки для детей произведены из высококачественного материала Natlace, который особенно нежный в использовании, дает ощущение шелка, сохраняет идеальный баланс влажности и прочности салфетки, который так важен внимательным мамам малышей. Влажные салфетки детские без запаха помогают бережно очистить лицо, ротик, ручки и тело младенца, обработать грудь перед кормлением. Влажные салфетки детские для новорожденных незаменимы при смене подгузника. Одна салфетка может помочь решить максимальное количество задач, так как наши влажные салфетки детские хорошо пропитаны и имеют большой размер. Одноразовые влажные салфетки универсальные: можно использовать для снятия макияжа и косметики, в уходе за детскими игрушками, для сумки в роддом, в поездке на автомобиле, самолете, поезде, в походе. Водные салфетки в пачке защищены от высыхания пластиковым клапаном. Мокрые полотенца абсолютно экологичны, разработаны для удобного и комфортного пользования мамы, бабушки и беременных женщин!",Свежая нота,Влажные салфетки,Красота,,,,,Россия,нетканый материал; пропитывающий лосьон
104035334,115116328,2024-11-26,Шапка бини докер кусто зимняя осенняя,"Шапка универсальная мужская и женская бини ""Doker"" выполнена в классической форме из мягкого трикотажа. Шапка мужская зимняя вязаная унисекс подростковая укороченная без козырька и с подворотом, на осень и зиму. 
Стильный докер для городского и спортивного стиля под любой образ. Модель, которую носил известный французский исследователь Мирового океана, фотограф и режиссёр, изобретатель и автор множества книг и фильмов Жак-Ив Кусто. Укороченные шапки весенние бини созданы для людей, которые следят за трендами и ценят современный стиль. Короткий головной убор с отворотом достаточно теплый, чтобы согреть прохладной зимой, весной и осенью. Модная демисезонная докерка сделана из пряжи, в составе которой 50% шерсти и 50% ПАН. Сама по себе шапка укороченная и носится не закрывая уши, но благодаря количеству и исполнению отворотов ее можно регулировать по длине, меняя высоту отворота и их количество. Короткая шапочка морячка универсальна, подходит как взрослым, так и детям - подросткам; как мужчинам, так и женщинам. Шапка доступна в разных цветах, она подойдет в качестве подарка на Новый год, Рождество, день рождения и другой праздник.
Бренд ALEKON (алекон) создает стильные повседневные аксессуары для современных девушек и мужчин.",ALEKON,Шапки,Головные уборы,54-60,54-60,54-60,черный,Россия,шерсть; пан
